NIVEL_WPS	CODIGO_WPS	QTDE_WPS	DESCRICAO_WPS	LARG_WPS	ALT_WPS	PROF_WPS	COMP_WPS	MATERIAL_WPS	USINAGEM_1_WPS	USINAGEM_2_WPS	LARG_TOP	CATEGORIA	IMAGEN	
3	36_ESCARLATE	1.96	36_ESCARLATE	817	36	0	2405	36_ESCARLATE			2405	ARAUCO		
3	ABS_ESCARLATE_63	6.44	ABS_ESCARLATE_63	6443	0	0	0	ABS_ESCARLATE_63			6443			
2	PORTAPI096200152449	1	PORTA DOB INV CAVA LD 15MM 4P_1_4P	817	2405	15	2405	15_ESCARLATE			817		C:\Nesting\LIVING\IMG_COMP\PORTADOBINVC-1-1004794.BMP	
3	15_ESCARLATE	1.96	15_ESCARLATE	817	15	0	2405	15_ESCARLATE			2405	ARAUCO		
3	ABS_ESCARLATE_22	6.44	ABS_ESCARLATE_22	6443	0	0	0	ABS_ESCARLATE_22			6443			
2	ENGVER015000182449	2	ENG VER PORTA PASSAGEM 4P_1	150	2405	18	2405	18_ESCARLATE			150		C:\Nesting\LIVING\IMG_COMP\ENGVERPORTAP-1-1004801.BMP	
3	18_ESCARLATE	0.36	18_ESCARLATE	150	18	0	2405	18_ESCARLATE			2405	ARAUCO		
2	ENGHOR066400180150	2	ENG HOR PORTA PASSAGEM 4P_1	517	150	18	150	18_ESCARLATE			517		C:\Nesting\LIVING\IMG_COMP\ENGHORPORTAP-1-1004807.BMP	
3	18_ESCARLATE	0.08	18_ESCARLATE	150	18	0	517	18_ESCARLATE			517	ARAUCO		
2	METALON_30x20_VER	2	METALON VERTICAL	30	2105	20	2105				30			
2	METALON_30x20_HOR	2	METALON HORIZONTAL	457	30	20	30				457			
1	PA01	1	PAINEL VERTICAL	727	2481	15	2481				727			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ INF 2_5	727	2481	15	2481	15_ESCARLATE			727		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1004830.BMP	
3	15_ESCARLATE	1.80	15_ESCARLATE	727	15	0	2481	15_ESCARLATE			2481	ARAUCO		
3	ABS_ESCARLATE_22	5.69	ABS_ESCARLATE_22	5689	0	0	0	ABS_ESCARLATE_22			5689			
2	PERFIL_15X15_ESPECIAL	1	PERFIL 25x12	1424	25	12	25				1424			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	2481	15	2481	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1004838.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2481	15_SOBRA			2481	ARAUCO		
1	PA01	1	PAINEL VERTICAL	697	2481	15	2481				697			
2	PAINELV080000151000	1	PAINEL VER ESQ INF 2_5	697	2481	15	2481	15_ESCARLATE			697		C:\Nesting\LIVING\IMG_COMP\PAINELVERESQ-1-1004847.BMP	
3	15_ESCARLATE	1.73	15_ESCARLATE	697	15	0	2481	15_ESCARLATE			2481	ARAUCO		
3	ABS_ESCARLATE_22	3.18	ABS_ESCARLATE_22	3178	0	0	0	ABS_ESCARLATE_22			3178			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	2481	15	2481	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1004851.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2481	15_SOBRA			2481	ARAUCO		
1	PA01	1	PAINEL VERTICAL	480	2481	15	2481				480			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ INF 2_5	480	2481	15	2481	15_ESCARLATE			480		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1004860.BMP	
3	15_ESCARLATE	1.19	15_ESCARLATE	480	15	0	2481	15_ESCARLATE			2481	ARAUCO		
3	ABS_ESCARLATE_22	5.44	ABS_ESCARLATE_22	5442	0	0	0	ABS_ESCARLATE_22			5442			
2	PERFIL_15X15_ESPECIAL	1	PERFIL 25x12	480	25	12	25				480			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	2481	15	2481	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1004868.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2481	15_SOBRA			2481	ARAUCO		
1	PA01	1	PAINEL VERTICAL	655	2481	15	2481				655			
2	PAINELV080000151000	1	PAINEL VER DIR INF 2_5	655	2481	15	2481	15_ESCARLATE			655		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1004877.BMP	
3	15_ESCARLATE	1.63	15_ESCARLATE	655	15	0	2481	15_ESCARLATE			2481	ARAUCO		
3	ABS_ESCARLATE_22	3.14	ABS_ESCARLATE_22	3136	0	0	0	ABS_ESCARLATE_22			3136			
2	PERFIL_15X15_ESPECIAL	1	PERFIL 25x12	656	25	12	25				656			
2	PERFIL_15X15_ESPECIAL	1	PERFIL 25x12	31	25	12	25				31			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	2481	15	2481	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1004888.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2481	15_SOBRA			2481	ARAUCO		
2	REGUAAC001800151000	1	REGUA ACABAMENTO VER _5	15	2481	15	2481	15_ESCARLATE			15		C:\Nesting\LIVING\IMG_COMP\REGUAACABAME-1-1004894.BMP	
3	15_ESCARLATE	0.04	15_ESCARLATE	15	15	0	2481	15_ESCARLATE			2481	ARAUCO		
1	PA05	1	PAINEL TETO	865	15	1770	15				865			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ SUP 2_5	865	1770	15	1770	15_ESCARLATE			865		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1004901.BMP	
3	15_ESCARLATE	1.53	15_ESCARLATE	865	15	0	1770	15_ESCARLATE			1770	ARAUCO		
3	ABS_ESCARLATE_22	4.41	ABS_ESCARLATE_22	4404	0	0	0	ABS_ESCARLATE_22			4404			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	1770	15	1770	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1004906.BMP	
3	15_SOBRA	0.12	15_SOBRA	70	15	0	1770	15_SOBRA			1770	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	1770	269	1770	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1004912.BMP	
3	15_SOBRA	0.48	15_SOBRA	269	15	0	1770	15_SOBRA			1770	ARAUCO		
1	PA05	1	PAINEL TETO	499	15	1770	15				499			
2	PAINELV080000151000	1	PAINEL VER ESQ SUP 2_5	499	1770	15	1770	15_ESCARLATE			499		C:\Nesting\LIVING\IMG_COMP\PAINELVERESQ-1-1004929.BMP	
3	15_ESCARLATE	0.88	15_ESCARLATE	499	15	0	1770	15_ESCARLATE			1770	ARAUCO		
3	ABS_ESCARLATE_22	2.27	ABS_ESCARLATE_22	2269	0	0	0	ABS_ESCARLATE_22			2269			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	1770	15	1770	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1004934.BMP	
3	15_SOBRA	0.12	15_SOBRA	70	15	0	1770	15_SOBRA			1770	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	1770	269	1770	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1004940.BMP	
3	15_SOBRA	0.48	15_SOBRA	269	15	0	1770	15_SOBRA			1770	ARAUCO		
1	PA05	1	PAINEL TETO	1065	15	1770	15				1065			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ SUP 2_5	1065	1770	15	1770	15_ESCARLATE			1065		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1004957.BMP	
3	15_ESCARLATE	1.89	15_ESCARLATE	1065	15	0	1770	15_ESCARLATE			1770	ARAUCO		
3	ABS_ESCARLATE_22	4.61	ABS_ESCARLATE_22	4605	0	0	0	ABS_ESCARLATE_22			4605			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	1770	15	1770	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1004962.BMP	
3	15_SOBRA	0.12	15_SOBRA	70	15	0	1770	15_SOBRA			1770	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	1770	269	1770	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1004968.BMP	
3	15_SOBRA	0.48	15_SOBRA	269	15	0	1770	15_SOBRA			1770	ARAUCO		
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	1570	15	1570	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1004982.BMP	
3	15_SOBRA	0.11	15_SOBRA	70	15	0	1570	15_SOBRA			1570	ARAUCO		
2	ENGROSSO001500651000	1	ENGROSSO V FECHAMENTO PAINEL _4P	15	1570	269	1570	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1004988.BMP	
3	15_SOBRA	0.42	15_SOBRA	269	15	0	1570	15_SOBRA			1570	ARAUCO		
1	PA05	1	PAINEL TETO	655	15	2032	15				655			
2	PAINELV080000151000	1	PAINEL VER DIR SUP INF 2_5	655	2032	15	2032	15_ESCARLATE			655		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1004995.BMP	
3	15_ESCARLATE	1.33	15_ESCARLATE	655	15	0	2032	15_ESCARLATE			2032	ARAUCO		
3	ABS_ESCARLATE_22	3.34	ABS_ESCARLATE_22	3342	0	0	0	ABS_ESCARLATE_22			3342			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2032	15	2032	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005000.BMP	
3	15_SOBRA	0.14	15_SOBRA	70	15	0	2032	15_SOBRA			2032	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2032	269	2032	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005006.BMP	
3	15_SOBRA	0.55	15_SOBRA	269	15	0	2032	15_SOBRA			2032	ARAUCO		
2	REGUAAC001800151000	1	REGUA ACABAMENTO VER _5	15	2032	269	2032	15_ESCARLATE			15		C:\Nesting\LIVING\IMG_COMP\REGUAACABAME-1-1005019.BMP	
3	15_ESCARLATE	0.55	15_ESCARLATE	269	15	0	2032	15_ESCARLATE			2032	ARAUCO		
1	PA01	1	PAINEL VERTICAL	825	70	15	70				825			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ INF 2_5	825	70	15	70	15_ESCARLATE			825		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005025.BMP	
3	15_ESCARLATE	0.06	15_ESCARLATE	825	15	0	70	15_ESCARLATE			70	ARAUCO		
3	ABS_ESCARLATE_22	0.97	ABS_ESCARLATE_22	965	0	0	0	ABS_ESCARLATE_22			965			
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	36	15	36	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005029.BMP	
3	15_SOBRA	0.00	15_SOBRA	70	15	0	36	15_SOBRA			36	ARAUCO		
1	PA05	1	PAINEL TETO	865	15	2370	15				865			
2	PAINELV080000151000	1	PAINEL VER DIR INF 2_5	865	2370	15	2370	15_ESCARLATE			865		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005039.BMP	
3	15_ESCARLATE	2.05	15_ESCARLATE	865	15	0	2370	15_ESCARLATE			2370	ARAUCO		
3	ABS_ESCARLATE_22	3.24	ABS_ESCARLATE_22	3235	0	0	0	ABS_ESCARLATE_22			3235			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2370	15	2370	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005044.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2370	15_SOBRA			2370	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2370	269	2370	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005050.BMP	
3	15_SOBRA	0.64	15_SOBRA	269	15	0	2370	15_SOBRA			2370	ARAUCO		
1	PA01	1	PAINEL VERTICAL	1011	2481	15	2481				1011			
2	PAINELV080000151000	1	PAINEL VER DIR INF 2_5	1011	2481	15	2481	15_ESCARLATE			1011		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005066.BMP	
3	15_ESCARLATE	2.51	15_ESCARLATE	1011	15	0	2481	15_ESCARLATE			2481	ARAUCO		
3	ABS_ESCARLATE_22	3.49	ABS_ESCARLATE_22	3492	0	0	0	ABS_ESCARLATE_22			3492			
2	PERFIL_15X15_ESPECIAL	1	PERFIL 25x12	1011	25	12	25				1011			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2481	15	2481	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005075.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2481	15_SOBRA			2481	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2481	45	2481	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005081.BMP	
3	15_SOBRA	0.11	15_SOBRA	45	15	0	2481	15_SOBRA			2481	ARAUCO		
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	2281	15	2281	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005095.BMP	
3	15_SOBRA	0.16	15_SOBRA	70	15	0	2281	15_SOBRA			2281	ARAUCO		
2	ENGROSSO001500651000	1	ENGROSSO V FECHAMENTO PAINEL _4P	15	2281	45	2281	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005101.BMP	
3	15_SOBRA	0.10	15_SOBRA	45	15	0	2281	15_SOBRA			2281	ARAUCO		
1	PA05	1	PAINEL TETO	499	15	2370	15				499			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ SUP INF 2_5	499	2370	15	2370	15_ESCARLATE			499		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005108.BMP	
3	15_ESCARLATE	1.18	15_ESCARLATE	499	15	0	2370	15_ESCARLATE			2370	ARAUCO		
3	ABS_ESCARLATE_22	5.74	ABS_ESCARLATE_22	5738	0	0	0	ABS_ESCARLATE_22			5738			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2370	15	2370	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005113.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2370	15_SOBRA			2370	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2370	269	2370	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005119.BMP	
3	15_SOBRA	0.64	15_SOBRA	269	15	0	2370	15_SOBRA			2370	ARAUCO		
1	PA05	1	PAINEL TETO	1065	15	2121	15				1065			
2	PAINELV080000151000	1	PAINEL VER DIR SUP INF 2_5	1065	2121	15	2121	15_ESCARLATE			1065		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005136.BMP	
3	15_ESCARLATE	2.26	15_ESCARLATE	1065	15	0	2121	15_ESCARLATE			2121	ARAUCO		
3	ABS_ESCARLATE_22	4.25	ABS_ESCARLATE_22	4250	0	0	0	ABS_ESCARLATE_22			4250			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2121	15	2121	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005141.BMP	
3	15_SOBRA	0.15	15_SOBRA	70	15	0	2121	15_SOBRA			2121	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2121	269	2121	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005147.BMP	
3	15_SOBRA	0.57	15_SOBRA	269	15	0	2121	15_SOBRA			2121	ARAUCO		
2	ENGROSSO007000151000	2	ENGROSSO VER PAINEL _4P	70	1921	15	1921	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005161.BMP	
3	15_SOBRA	0.13	15_SOBRA	70	15	0	1921	15_SOBRA			1921	ARAUCO		
2	ENGROSSO001500651000	1	ENGROSSO V FECHAMENTO PAINEL _4P	15	1921	269	1921	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005167.BMP	
3	15_SOBRA	0.52	15_SOBRA	269	15	0	1921	15_SOBRA			1921	ARAUCO		
1	PA05	1	PAINEL TETO	630	15	2370	15				630			
2	PAINELV080000151000	1	PAINEL VER DIR SUP INF 2_5	630	2370	15	2370	15_ESCARLATE			630		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005174.BMP	
3	15_ESCARLATE	1.49	15_ESCARLATE	630	15	0	2370	15_ESCARLATE			2370	ARAUCO		
3	ABS_ESCARLATE_22	3.63	ABS_ESCARLATE_22	3630	0	0	0	ABS_ESCARLATE_22			3630			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2370	15	2370	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005179.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2370	15_SOBRA			2370	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2370	269	2370	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005185.BMP	
3	15_SOBRA	0.64	15_SOBRA	269	15	0	2370	15_SOBRA			2370	ARAUCO		
1	PA05	1	PAINEL TETO	435	15	2370	15				435			
2	PAINELV080000151000	1	PAINEL VER ESQ SUP INF 2_5	435	2370	15	2370	15_ESCARLATE			435		C:\Nesting\LIVING\IMG_COMP\PAINELVERESQ-1-1005202.BMP	
3	15_ESCARLATE	1.03	15_ESCARLATE	435	15	0	2370	15_ESCARLATE			2370	ARAUCO		
3	ABS_ESCARLATE_22	3.24	ABS_ESCARLATE_22	3240	0	0	0	ABS_ESCARLATE_22			3240			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2370	15	2370	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005207.BMP	
3	15_SOBRA	0.17	15_SOBRA	70	15	0	2370	15_SOBRA			2370	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2370	269	2370	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005213.BMP	
3	15_SOBRA	0.64	15_SOBRA	269	15	0	2370	15_SOBRA			2370	ARAUCO		
1	PA05	1	PAINEL TETO	499	15	2121	15				499			
2	PAINELV080000151000	1	PAINEL VER DIR ESQ INF 2_5	499	2121	15	2121	15_ESCARLATE			499		C:\Nesting\LIVING\IMG_COMP\PAINELVERDIR-1-1005230.BMP	
3	15_ESCARLATE	1.06	15_ESCARLATE	499	15	0	2121	15_ESCARLATE			2121	ARAUCO		
3	ABS_ESCARLATE_22	4.74	ABS_ESCARLATE_22	4741	0	0	0	ABS_ESCARLATE_22			4741			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	2121	15	2121	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005235.BMP	
3	15_SOBRA	0.15	15_SOBRA	70	15	0	2121	15_SOBRA			2121	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	2121	269	2121	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005241.BMP	
3	15_SOBRA	0.57	15_SOBRA	269	15	0	2121	15_SOBRA			2121	ARAUCO		
1	PA05	1	PAINEL TETO	494	15	1046	15				494			
2	PAINELV080000151000	1	PAINEL VER ESQ SUP 2_5	494	1046	15	1046	15_ESCARLATE			494		C:\Nesting\LIVING\IMG_COMP\PAINELVERESQ-1-1005258.BMP	
3	15_ESCARLATE	0.52	15_ESCARLATE	494	15	0	1046	15_ESCARLATE			1046	ARAUCO		
3	ABS_ESCARLATE_22	1.54	ABS_ESCARLATE_22	1540	0	0	0	ABS_ESCARLATE_22			1540			
2	ENGROSSO007000151000	4	ENGROSSO VER PAINEL _4P	70	1046	15	1046	15_SOBRA			70		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVERP-1-1005263.BMP	
3	15_SOBRA	0.07	15_SOBRA	70	15	0	1046	15_SOBRA			1046	ARAUCO		
2	ENGROSSO001500651000	2	ENGROSSO V FECHAMENTO PAINEL _4P	15	1046	269	1046	15_SOBRA			15		C:\Nesting\LIVING\IMG_COMP\ENGROSSOVFEC-1-1005269.BMP	
